 --- = "Darwin" --- 
TOLID	BREAKS	JOINS	HAP_REMOVE	ASSEMBLY_LENGTH_AC
ilNocJant1	2.0	6.0	3.0	532770789
iyBomHypn1	1.0	28.0	0.0	283943226
ilEnnQuei1	16.0	14.0	10.0	491868879
iyBomSyle1	6.0	42.0	0.0	297490700
bAcrSci1	182.0	272.0	67.0	1075083815
fTauBub2	15.0	146.0	6.0	None
dhQueRobu3	47.0	45.0	34.0	None
icApoCory1	14.0	43.0	7.0	None
idBibMarc1	3.0	11.0	None	340009463
eaMarGlac1	126.0	237.0	42.0	520943681
iyBomCamp1	5.0	43.0	0.0	270743918
icMalBipu1	121.0	123.0	69.0	544240569
fPhoGun1	122.0	168.0	46.0	None
ilBolSele5	1.0	7.0	None	399902484
idTacFera2	44.0	202.0	60.0	751720058
ilManJurt1	8.0	16.0	2.0	402038846
ilEreLige1	17.0	30.0	10.0	506619559
ilAriArta1	6.0	9.0	6.0	437367655
 --- = "VGP+" --- 
TOLID	BREAKS	JOINS	HAP_REMOVE	ASSEMBLY_LENGTH_AC
 --- = "VGP orders" --- 
TOLID	BREAKS	JOINS	HAP_REMOVE	ASSEMBLY_LENGTH_AC
mJacJac1	102.0	79.0	93.0	2863848715
mJacJac1	None	None	None	None
fThuMac1	2.0	37.0	1.0	782407452
